customer_id,annual_spending,purchase_frequency,age,cluster,cluster_label
1,5745.071229516849,15,38,0,"Low-Spending, Infrequent Buyers"
2,4792.603548243223,22,33,1,"High-Spending, Frequent Buyers"
3,5971.5328071510385,23,18,1,"High-Spending, Frequent Buyers"
4,7284.544784612038,18,26,0,"Low-Spending, Infrequent Buyers"
5,4648.769937914996,21,31,1,"High-Spending, Frequent Buyers"
6,4648.794564576229,19,54,2,"Moderate-Spending, Occasional Buyers"
7,7368.819223261087,20,41,0,"Low-Spending, Infrequent Buyers"
8,6151.152093729363,12,22,0,"Low-Spending, Infrequent Buyers"
9,4295.788421097572,16,40,2,"Moderate-Spending, Occasional Buyers"
10,5813.840065378947,26,20,1,"High-Spending, Frequent Buyers"
11,4304.873460781307,15,46,2,"Moderate-Spending, Occasional Buyers"
12,4301.405369644614,22,30,1,"High-Spending, Frequent Buyers"
13,5362.943407349051,21,34,1,"High-Spending, Frequent Buyers"
14,2130.079633013303,16,48,2,"Moderate-Spending, Occasional Buyers"
15,2412.623251230451,12,22,1,"High-Spending, Frequent Buyers"
16,4156.568706138541,17,21,1,"High-Spending, Frequent Buyers"
17,3480.7533194983644,23,29,1,"High-Spending, Frequent Buyers"
18,5471.37099889291,18,45,2,"Moderate-Spending, Occasional Buyers"
19,3637.963886718184,26,20,1,"High-Spending, Frequent Buyers"
20,2881.544447997063,19,18,1,"High-Spending, Frequent Buyers"
21,7198.473153382331,20,30,0,"Low-Spending, Infrequent Buyers"
22,4661.335549270197,27,41,2,"Moderate-Spending, Occasional Buyers"
23,5101.292307031886,17,47,2,"Moderate-Spending, Occasional Buyers"
24,2862.877720679815,27,30,1,"High-Spending, Frequent Buyers"
25,4183.425913212226,22,31,1,"High-Spending, Frequent Buyers"
26,5166.383884564799,23,47,2,"Moderate-Spending, Occasional Buyers"
27,3273.5096338665458,15,18,1,"High-Spending, Frequent Buyers"
28,5563.547027518508,34,31,1,"High-Spending, Frequent Buyers"
29,4099.041965121793,25,37,1,"High-Spending, Frequent Buyers"
30,4562.459375310085,19,39,2,"Moderate-Spending, Occasional Buyers"
31,4097.440081655905,18,30,1,"High-Spending, Frequent Buyers"
32,7778.417276763406,15,35,0,"Low-Spending, Infrequent Buyers"
33,4979.754162893099,33,18,1,"High-Spending, Frequent Buyers"
34,3413.433606566149,22,28,1,"High-Spending, Frequent Buyers"
35,6233.817368154783,24,40,0,"Low-Spending, Infrequent Buyers"
36,3168.7345250434664,33,25,1,"High-Spending, Frequent Buyers"
37,5313.295392507133,16,36,0,"Low-Spending, Infrequent Buyers"
38,2060.4948141803366,15,39,2,"Moderate-Spending, Occasional Buyers"
39,3007.720926652354,18,32,1,"High-Spending, Frequent Buyers"
40,5295.291853803686,19,37,0,"Low-Spending, Infrequent Buyers"
41,6107.6998699931155,22,25,1,"High-Spending, Frequent Buyers"
42,5257.052421784956,15,33,0,"Low-Spending, Infrequent Buyers"
43,4826.5275764176395,22,41,2,"Moderate-Spending, Occasional Buyers"
44,4548.344456616067,21,37,2,"Moderate-Spending, Occasional Buyers"
45,2782.217014448859,16,29,1,"High-Spending, Frequent Buyers"
46,3920.233687407937,17,37,2,"Moderate-Spending, Occasional Buyers"
47,4309.041843560319,20,42,2,"Moderate-Spending, Occasional Buyers"
48,6585.683339328374,9,18,0,"Low-Spending, Infrequent Buyers"
49,5515.427434352692,19,47,2,"Moderate-Spending, Occasional Buyers"
50,2355.439766955899,17,32,2,"Moderate-Spending, Occasional Buyers"
51,5486.125954092193,9,39,0,"Low-Spending, Infrequent Buyers"
52,4422.376579375526,19,47,2,"Moderate-Spending, Occasional Buyers"
53,3984.616999541062,20,21,1,"High-Spending, Frequent Buyers"
54,5917.514433261302,14,28,0,"Low-Spending, Infrequent Buyers"
55,6546.499283743927,17,32,0,"Low-Spending, Infrequent Buyers"
56,6396.920178674298,16,27,0,"Low-Spending, Infrequent Buyers"
57,3741.1737151660423,33,52,2,"Moderate-Spending, Occasional Buyers"
58,4536.181436223178,22,26,1,"High-Spending, Frequent Buyers"
59,5496.895147105346,26,29,1,"High-Spending, Frequent Buyers"
60,6463.317690683539,29,37,1,"High-Spending, Frequent Buyers"
61,4281.238643232065,20,23,1,"High-Spending, Frequent Buyers"
62,4721.511535004274,26,31,1,"High-Spending, Frequent Buyers"
63,3340.4975389909578,23,38,2,"Moderate-Spending, Occasional Buyers"
64,3205.690063878994,16,32,2,"Moderate-Spending, Occasional Buyers"
65,6218.7887335912965,18,34,0,"Low-Spending, Infrequent Buyers"
66,7034.360042856235,13,30,0,"Low-Spending, Infrequent Buyers"
67,4891.984817629499,21,20,1,"High-Spending, Frequent Buyers"
68,6505.299346838036,26,38,1,"High-Spending, Frequent Buyers"
69,5542.454037571451,18,53,2,"Moderate-Spending, Occasional Buyers"
70,4032.3203680923134,24,35,1,"High-Spending, Frequent Buyers"
71,5542.093408262621,24,37,1,"High-Spending, Frequent Buyers"
72,7307.054849698954,25,42,0,"Low-Spending, Infrequent Buyers"
73,4946.260941335073,21,22,1,"High-Spending, Frequent Buyers"
74,7346.965483721009,18,52,0,"Low-Spending, Infrequent Buyers"
75,1070.3823438653835,19,37,2,"Moderate-Spending, Occasional Buyers"
76,6232.853756562836,18,51,2,"Moderate-Spending, Occasional Buyers"
77,5130.570602357257,16,28,0,"Low-Spending, Infrequent Buyers"
78,4551.488974301199,16,53,2,"Moderate-Spending, Occasional Buyers"
79,5137.641164803254,21,43,2,"Moderate-Spending, Occasional Buyers"
80,2018.6466280986606,22,41,2,"Moderate-Spending, Occasional Buyers"
81,4670.4921682437325,18,37,2,"Moderate-Spending, Occasional Buyers"
82,5535.668857267619,20,33,0,"Low-Spending, Infrequent Buyers"
83,7216.841067112275,18,47,0,"Low-Spending, Infrequent Buyers"
84,4222.594672589529,21,36,2,"Moderate-Spending, Occasional Buyers"
85,3787.2595956602186,21,18,1,"High-Spending, Frequent Buyers"
86,4247.364434623195,31,24,1,"High-Spending, Frequent Buyers"
87,6373.103176553112,15,33,0,"Low-Spending, Infrequent Buyers"
88,5493.126664489527,18,38,0,"Low-Spending, Infrequent Buyers"
89,4205.359694349442,20,34,1,"High-Spending, Frequent Buyers"
90,5769.901149670034,17,47,2,"Moderate-Spending, Occasional Buyers"
91,5145.61632402206,24,18,1,"High-Spending, Frequent Buyers"
92,6452.967485799334,17,36,0,"Low-Spending, Infrequent Buyers"
93,3946.9203591839714,23,18,1,"High-Spending, Frequent Buyers"
94,4508.506780103347,19,43,2,"Moderate-Spending, Occasional Buyers"
95,4411.837770301763,15,34,2,"Moderate-Spending, Occasional Buyers"
96,2804.727577801822,15,39,2,"Moderate-Spending, Occasional Buyers"
97,5444.180415596864,23,26,1,"High-Spending, Frequent Buyers"
98,5391.582908269834,21,48,2,"Moderate-Spending, Occasional Buyers"
99,5007.670184963691,32,45,2,"Moderate-Spending, Occasional Buyers"
100,4648.11929993728,24,41,2,"Moderate-Spending, Occasional Buyers"
101,2876.9438869243786,30,34,1,"High-Spending, Frequent Buyers"
102,4369.032015851962,16,41,2,"Moderate-Spending, Occasional Buyers"
103,4485.928225209846,21,28,1,"High-Spending, Frequent Buyers"
104,3796.5840961675717,18,44,2,"Moderate-Spending, Occasional Buyers"
105,4758.071432500987,24,51,2,"Moderate-Spending, Occasional Buyers"
106,5606.076285221808,25,46,2,"Moderate-Spending, Occasional Buyers"
107,7829.278851815796,22,28,0,"Low-Spending, Infrequent Buyers"
108,5261.866719247759,22,39,2,"Moderate-Spending, Occasional Buyers"
109,5386.325586084146,21,22,1,"High-Spending, Frequent Buyers"
110,4888.331126350749,16,41,2,"Moderate-Spending, Occasional Buyers"
111,2121.8431770514376,21,40,2,"Moderate-Spending, Occasional Buyers"
112,4960.229186826175,16,18,1,"High-Spending, Frequent Buyers"
113,5090.345314911539,21,23,1,"High-Spending, Frequent Buyers"
114,8694.86316872793,23,32,0,"Low-Spending, Infrequent Buyers"
115,4711.458552828316,19,32,1,"High-Spending, Frequent Buyers"
116,5452.321013500418,14,23,0,"Low-Spending, Infrequent Buyers"
117,4947.932345442135,23,39,2,"Moderate-Spending, Occasional Buyers"
118,3246.982943570702,17,38,2,"Moderate-Spending, Occasional Buyers"
119,6714.234221772531,15,33,0,"Low-Spending, Infrequent Buyers"
120,6127.899549030161,16,27,0,"Low-Spending, Infrequent Buyers"
121,6186.547920564571,12,45,0,"Low-Spending, Infrequent Buyers"
122,3635.9188178078916,12,52,2,"Moderate-Spending, Occasional Buyers"
123,7104.191466404149,16,30,0,"Low-Spending, Infrequent Buyers"
